name,institution,course_url,course_id,avg_rating,n_reviews,popularity_score,popularity_norm
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,4.7505223568742165,35895.0,49.82528912935702,0.9865363416335718
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,4.776182791132252,35319.0,50.01716365707868,0.9903354404032702
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,https://www.coursera.org/learn/google-cbrs-cpi-training,google-cbrs-cpi-training,4.931034482758621,87.0,22.07790222311668,0.4371405218259755
Financial Markets,Yale University,https://www.coursera.org/learn/financial-markets-global,financial-markets-global,4.819466248037677,8918.0,43.83757154288109,0.8679800601605057
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,4.581781591401654,45218.0,49.1133660161244,0.9724403266193996
The Bits and Bytes of Computer Networking,Google,https://www.coursera.org/learn/computer-networking,computer-networking,4.6452454853273135,14176.0,44.40564919188475,0.8792279476370213
AI For Everyone,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone,ai-for-everyone,4.843550624133148,21630.0,48.34775442360962,0.9572812844384129
Crash Course on Python,Google,https://www.coursera.org/learn/python-crash-course,python-crash-course,4.734439834024896,9399.0,43.312856965902434,0.857590757695438
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,4.775888111888112,35750.0,50.07200381808666,0.9914212707669423
What is Data Science?,IBM,https://www.coursera.org/learn/what-is-datascience,what-is-datascience,4.632664674918196,21087.0,46.12493792244596,0.9132697132564067
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,4.8064022446116565,7841.0,43.10020660045323,0.8533802991663836
Fundamentals of Project Planning and Management,University of Virginia,https://www.coursera.org/learn/uva-darden-project-management,uva-darden-project-management,4.771139705882353,3264.0,38.60336312639648,0.7643431939671108
Project Launch,"University of California, Irvine",https://www.coursera.org/learn/project-management,project-management,4.386792452830188,106.0,20.49873026438477,0.4058730559627462
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,https://www.coursera.org/learn/brand,brand,4.897669706180345,2961.0,39.15011049138533,0.7751687436965571
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,https://www.coursera.org/learn/html-css-javascript-for-web-developers,html-css-javascript-for-web-developers,4.760450160771704,9330.0,43.51573891704492,0.8616078024805461
Excel Skills for Business: Essentials,Macquarie University,https://www.coursera.org/learn/excel-essentials,excel-essentials,4.895534327796339,21251.0,48.780113930047136,0.9658419646312358
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,https://www.coursera.org/learn/negotiation,negotiation,4.918815331010453,2870.0,39.16565231925752,0.7754764705212128
"Everyday Excel, Part 1",University of Colorado Boulder,https://www.coursera.org/learn/everyday-excel-part-1,everyday-excel-part-1,4.829021372328459,889.0,32.794953587720485,0.649337196066765
Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,https://www.coursera.org/learn/learning-how-to-learn,learning-how-to-learn,4.802138540213854,32265.0,49.85469458267391,0.9871185670224503
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,https://www.coursera.org/learn/gcp-fundamentals,gcp-fundamentals,4.716958393113343,17425.0,46.06448842255838,0.9120728184763714
