user_id,book_id,rating
2,260,5
2,9296,5
2,2318,3
2,315,3
2,2686,5
8,2732,5
8,1432,3
8,479,4
8,772,4
8,1967,3
11,408,3
15,92,4
15,688,5
15,550,4
24,398,3
22,2298,3
32,550,5
32,2357,5
32,758,5
32,1272,4
32,398,4
34,408,2
40,690,4
40,3123,3
22,408,4
24,3310,4
34,546,2
53,315,1
63,315,3
72,550,5
73,3933,3
73,758,5
73,7715,5
73,5210,5
74,582,5
74,3009,5
73,5283,4
76,315,2
70,772,3
83,2357,5
83,550,5
83,1234,4
76,92,3
78,3785,5
85,1269,3
78,2342,4
89,1705,4
89,1272,5
38,9303,4
89,211,2
89,127,3
89,969,3
89,8084,3
38,1624,4
89,1683,4
93,969,4
63,5327,3
38,6820,4
94,4119,4
94,3696,2
94,315,3
78,479,5
18,92,3
18,408,3
34,3923,3
74,315,4
29,2342,3
29,8611,3
29,4071,3
29,6820,3
29,6173,3
105,758,5
105,374,5
105,878,4
108,92,4
108,211,3
108,127,4
100,3049,4
112,398,4
108,690,4
114,1432,5
115,92,2
100,5327,4
100,2934,2
18,7292,3
18,3597,3
116,1969,4
86,1624,3
116,688,5
116,663,4
89,1099,3
126,474,4
126,550,4
126,1349,2
126,92,4
126,5495,3
126,374,4
126,4620,4
126,4018,4
126,1224,4
126,211,2
126,127,2
126,969,2
126,9946,5
126,688,4
124,956,5
115,211,2
125,127,3
125,398,4
135,408,4
125,1888,5
63,4485,3
115,127,3
135,92,5
94,5327,4
135,1384,4
66,2163,5
124,2732,4
4,398,3
143,92,4
142,6156,4
142,550,5
142,92,4
149,398,5
78,439,3
78,7398,3
142,127,4
156,550,4
156,92,4
156,127,5
156,211,4
156,4699,4
115,479,3
115,439,3
126,1154,4
158,439,3
125,479,3
78,4270,3
78,6011,2
136,3597,3
167,1877,4
169,546,4
169,1168,4
177,1272,3
136,7231,5
171,9563,4
171,3342,5
171,9303,4
183,550,5
171,7429,4
171,819,4
185,3033,4
171,7231,4
171,408,3
171,4597,4
171,8390,5
171,7606,5
187,8084,4
137,9874,4
184,92,4
184,127,3
184,8907,3
184,398,4
184,2229,4
184,9962,5
183,1888,4
183,211,3
171,4399,2
171,4684,5
171,8011,5
112,688,4
112,9204,4
112,508,4
185,398,4
168,1314,5
168,479,4
168,6620,5
190,398,4
190,408,3
191,92,3
38,7151,3
195,92,3
195,398,3
199,758,3
106,4260,1
10,688,2
207,1269,5
207,1314,4
206,508,2
194,5210,4
194,6820,4
212,9554,4
212,772,4
212,9304,3
219,1624,4
63,7151,5
115,5228,2
116,772,5
116,3868,5
116,4330,5
116,4880,5
212,479,3
212,7429,3
212,3949,3
185,1392,4
202,127,4
66,1865,4
239,3342,4
137,8891,2
194,6011,3
206,6274,5
246,1969,4
246,211,3
116,398,4
116,1269,3
116,3543,3
116,5420,4
116,3552,3
116,4695,5
116,479,4
212,6896,4
116,4727,3
242,508,4
242,479,2
18,546,3
18,2298,3
237,758,5
142,3597,5
56,1692,4
247,688,4
247,1683,3
247,4620,4
258,758,2
258,8703,5
258,690,5
247,881,4
171,479,5
77,7151,5
253,550,4
162,969,2
257,1672,2
207,7372,3
207,7292,2
207,1495,4
264,5327,2
269,408,5
274,211,3
242,6567,5
276,663,4
242,3342,3
242,1624,3
124,92,4
21,878,4
21,315,2
242,5051,5
283,6285,5
276,5068,4
256,1269,5
286,3308,3
256,9554,3
243,8025,3
243,92,2
174,127,4
256,688,4
207,758,2
298,663,4
298,508,4
301,1420,4
66,1624,2
185,3675,4
210,1432,5
303,374,5
303,4079,5
303,3597,4
303,211,3
303,127,4
243,3123,2
324,9432,5
324,3552,4
324,2732,4
324,9554,4
324,6880,3
324,1432,4
324,3949,4
324,772,4
324,4330,4
299,6857,5
324,3720,4
324,92,5
258,127,5
258,1859,5
215,5833,4
332,3650,5
338,408,2
340,398,5
68,5327,3
131,472,1
304,315,4
264,878,4
345,3597,5
345,546,4
345,1272,3
270,9078,2
319,546,4
338,374,4
270,4079,4
347,3986,4
347,7372,4
270,7187,4
270,663,4
242,2465,4
322,7372,4
187,688,5
187,211,5
340,5120,5
340,315,1
340,2229,2
340,8160,4
340,211,2
270,1099,3
344,211,4
344,127,5
344,1392,4
69,550,5
69,1392,5
361,2231,5
361,5051,3
131,4071,4
243,9204,4
311,3071,3
364,2465,4
360,4059,2
360,4117,1
187,3597,5
187,1888,5
187,6487,5
340,408,2
340,92,1
142,211,4
361,5283,5
243,790,1
337,1432,4
337,4597,4
337,4071,4
337,1973,4
337,398,5
337,1392,4
337,508,5
142,2465,3
243,8611,2
316,479,4
316,6274,3
287,7187,5
384,1078,2
389,92,5
389,663,4
301,1235,3
301,403,4
337,9563,5
337,6274,5
337,1877,5
117,573,2
69,663,5
100,4260,3
372,5496,5
372,2298,4
372,573,4
372,127,3
229,508,3
399,472,5
395,6348,4
400,881,5
386,315,4
399,758,3
319,3868,4
403,758,5
403,3933,3
404,2342,4
404,5420,5
404,92,3
63,4260,4
410,408,5
155,315,3
401,92,4
401,969,3
401,4341,5
401,439,4
320,1672,5
320,1099,4
94,4260,2
406,6820,4
399,3785,5
406,4330,3
406,472,4
406,881,4
175,1272,5
427,688,4
209,1672,4
403,1888,5
401,260,3
427,474,4
364,127,3
427,439,4
427,819,4
333,6219,5
333,4119,5
333,3696,5
366,1154,4
427,1314,5
320,8867,4
423,5995,3
444,1392,5
444,127,3
444,3785,4
444,2132,2
444,8064,4
444,2220,2
444,479,2
444,408,4
444,92,4
444,1683,4
444,6274,4
447,398,4
200,127,5
452,690,4
366,7917,2
366,3675,3
453,772,4
453,6896,4
453,546,4
453,2732,4
447,7292,4
456,127,5
456,211,4
456,663,5
456,2298,3
456,508,3
456,1888,5
456,374,2
456,6274,5
456,5120,5
456,9204,3
399,5120,4
427,758,4
63,573,3
465,1154,5
468,688,3
304,1234,1
304,4260,2
89,2465,3
357,412,5
482,127,5
482,211,5
420,3464,3
420,3986,3
420,3650,4
420,956,2
453,2342,4
420,8703,5
420,688,3
420,4079,4
420,508,3
420,758,3
420,3933,2
485,1314,4
487,790,5
487,462,5
488,1349,4
481,439,5
367,663,4
253,1272,5
456,3123,4
453,6156,4
453,479,3
453,1432,4
126,3485,4
155,1420,4
499,6348,3
499,398,4
499,508,4
497,508,4
497,6274,3
497,819,4
497,374,4
497,663,3
497,9204,4
207,474,3
264,573,2
488,374,5
488,3696,4
488,1154,5
243,1392,1
404,6928,5
404,1432,4
404,6225,3
404,4733,4
404,4684,5
404,479,5
404,508,1
404,9732,4
506,7429,3
490,1392,4
511,7372,4
511,7292,4
338,2229,1
332,881,5
512,1672,4
512,1969,3
462,408,4
475,1624,4
475,374,5
475,479,3
475,3310,4
